context1	context2	label
They shot 20 [ head ] of quail	a single domestic animal	T
deliver the package to my [ home ]	where you live at a particular time	T
a [ school ] of small glittering fish swam by	a large group of fish	T
he described his mental [ picture ] of his assailant	a clear and telling mental image	T
he had to clean up the [ leak ]	the discharge of a fluid from some container	T
a racially integrated business [ concern ]	a commercial or industrial enterprise and the people who constitute it	T
a [ sampler ] of French poets	an assortment of various samples	T
The mechanism for [ arousal ] from sleep	awakening from sleep	T
A tidy [ sum ]	a quantity of money	T
He sat on the arm of the chair rather than the [ seat ] , which always annoyed his mother .	furniture that is designed for sitting on	T
Okay , but this is the last [ time ] . No more after that !	an instance or single occasion for some event	T
he went to the party dressed in [ drag ]	clothing that is conventionally worn by the opposite sex (especially women's clothing when worn by a man)	T
the gas expanded to twice its original [ volume ]	the amount of 3-dimensional space occupied by an object	T
I 'm really seeing you in a different [ light ] today .	a person regarded very fondly	T
the [ acquisition ] of wealth	the act of contracting or assuming or acquiring possession of something	T
The announcement of the verdict brought a violent [ reaction ] .	a bodily process occurring due to the effect of some antecedent stimulus or agent	T
the body lay in a [ pool ] of blood	a small body of standing water (rainwater) or other liquid	T
The lawyer obtained impunity by dragging his obviously guilty client 's case beyond the 10 years [ limitation ]	(law) a time period after which suits cannot be brought	T
The [ emission ] of light from the sun	the act of emitting; causing to flow forth	T
a terrible feeling of [ ulteriority ]	the quality of being ulterior	T
men first stepped on the [ moon ] in 1969	the natural satellite of the Earth	T
he was university [ material ]	a person judged suitable for admission or employment	T
the consolidation of the United States ' [ hegemony ] over a new international economic system	the dominance or leadership of one social group or nation over others	T
they paid taxes on every stage of the [ operation ]	a business especially one run on a large scale	T
Do you want to come over to my [ place ] later ?	where you live at a particular time	T
the [ process ] of calcification begins later for boys than for girls	a sustained phenomenon or one marked by gradual changes through a series of states	T
a bark [ feeder ]	an animal that feeds on a particular source of food	T
they have a chef who specializes in [ fish ]	the flesh of fish used as food	T
They climbed the north [ face ] of the mountain .	a surface forming part of the outside of an object	T
in chess your should take care of your [ development ] before moving your queen	a state in which things are improving; the result of developing (as in the early part of a game of chess)	T
The shift of the supplier gave us a [ saving ] of 10 percent .	an act of economizing; reduction in cost	T
Yesterday we did a [ run ] of 12,000 units .	the production achieved during a continuous period of operation (of a machine or factory etc.)	T
he was the [ last ] to leave	the last or lowest in an ordering or series	T
We laughed at her because the [ label ] was still on her new sweater .	an identifying or descriptive marker that is attached to an object	T
It was then that they decided to found a [ society ] of didgeridoo - playing unicyclists .	a formal association of people with similar interests	T
The [ key ] to winning a game	something crucial for explaining	T
his support made a real [ difference ]	a significant change	T
the piano had a very stiff [ action ]	the operating part that transmits power to a mechanism	T
the plane was given [ clearance ] to land	permission to proceed	T
the smart [ set ] goes there	an unofficial association of people or groups	T
I resented his [ withholding ] permission	the act of holding back or keeping within your possession or control	T
he managed it on a [ shoestring ]	a small amount of money	T
I ordered two [ dozen ] doughnuts .	the cardinal number that is the sum of eleven and one	T
a distant [ third ]	following the second position in an ordering or series	T
I took the noon [ flight ] to Chicago	a scheduled trip by plane between designated airports	T
the [ light ] of my life	a person regarded very fondly	T
he wrote the date on the [ back ] of the photograph	the side that goes last or is not normally seen	T
the [ foot ] of the page	the lower part of anything	T
See you another [ time ] ;    that 's three times he 's made the same mistake	an instance or single occasion for some event	T
Genesis is the first [ book ] of the Bible .	a major division of a long written composition	T
a long and happy [ marriage ]	the state of being a married couple voluntarily joined for life (or until divorce)	T
Come in , out of the [ cold ] .	the absence of heat	T
12 [ head ] of big cattle and 14 head of branded calves	a single domestic animal	T
he feared that mentioning it might reopen the [ wound ]	a figurative injury (to your feelings or pride); ; ; --Robert Frost	T
he was given [ credit ] for his work	approval	T
he held a large [ block ] of the company 's stock	a number or quantity of related things dealt with as a unit	T
his [ ambition ] is to own his own business	a cherished desire	T
There will be a [ charge ] of five dollars .	the price charged for some article or service	T
The flock of birds took to the [ air ] .	a mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of	T
the [ patter ] of mice	a quick succession of light rapid sounds	T
the [ line ] stretched clear around the corner	a formation of people or things one behind another	T
A circle is the [ locus ] of points from which the distance to the center is a given value , the radius .	the set of all points or lines that satisfy or are determined by specific conditions	T
mouths which speak such [ foulness ] must be cleansed	disgusting wickedness and immorality	T
Please speak up , the [ line ] is very faint .	a telephone connection	T
The [ term ] allowed to a debtor to discharge his debt	a limited period of time	T
Family members had been buried in the [ vault ] for centuries .	a burial chamber (usually underground)	T
he threw the ball into the [ air ]	the region above the ground	T
the African - American [ population ] of Salt Lake City has been increasing	the number of inhabitants (either the total number or the number of a particular race or class) in a given place (country or city etc.)	T
he had a [ time ] holding back the tears	a person's experience on a particular occasion	T
there but for the [ grace ] of God go I	(Christian theology) the free and unmerited favor or beneficence of God	T
Open the door a [ crack ] .	a long narrow opening	T
the [ truth ] is that he did n't want to do it	a fact that has been verified	T
the shark is a large [ fish ]	any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills	T
the [ language ] introduced is standard throughout the text	a systematic means of communicating by the use of sounds or conventional symbols	T
she made a [ funny ]	an account of an amusing incident (usually with a punch line)	T
The [ use ] of torture has been condemned by the United Nations ;    there is no use for your invention	the act of using	T
the manager had only four starting pitchers in his [ rotation ]	a planned recurrent sequence (of crops or personnel etc.)	T
they held an [ inventory ] every month	making an itemized list of merchandise or supplies on hand	T
they found the [ body ] in the lake	a natural object consisting of a dead animal or person	T
you can obtain a [ transcript ] of this radio program by sending a self - addressed envelope to the station	something that has been transcribed; a written record (usually typewritten) of dictated or recorded speech	T
The Holocaust was insanity on an enormous [ scale ] .	the ratio between the size of something and a representation of it	T
his brother 's success left him in the [ shade ]	a position of relative inferiority	T
At the [ end ] of the road , turn left .     At the end of the story , the main characters fall in love .	a final part or section	T
a [ congregation ] of children pleaded for his autograph	an assemblage of people or animals or things collected together	T
It 's almost [ lunchtime ] , so I think I 'll finish up later this afternoon .	the customary or habitual hour for eating lunch	T
the [ foot ] of the list	the lower part of anything	T
Do n't go to lunch if we do n't have enough [ coverage ] for the help - desk phones .	the extent to which something is covered	T
The woman does not even have one stick of [ furniture ] moved in yet .	furnishings that make a room or other area ready for occupancy	T
With the lights out , she had to rely on [ touch ] to find her desk .	the faculty by which external objects or forces are perceived through contact with the body (especially the hands)	T
Liza had always had a tendency to [ wildness ]	an unruly disposition to do as one pleases	T
The [ role ] of women has changed significantly in the last century .	normal or customary activity of a person in a particular social setting	T
The CEO made a public [ apology ] for the scandal , and promised full cooperation with the authorities .	an expression of regret at having caused trouble for someone	T
mineral [ origin ]	the source of something's existence or from which it derives or is derived	T
a bird will not learn its [ song ] unless it hears it at an early age	the characteristic sound produced by a bird	T
he does not have a [ grain ] of sense	the smallest possible unit of anything	T
The point guard drove toward the [ basket ] .	horizontal circular metal hoop supporting a net through which players try to throw the basketball	T
" Are we having a recording [ session ] ? " / " Yes . We 've even got some session musicians to provide some brass . "	a meeting devoted to a particular activity	T
skill is the [ product ] of hours of practice	a consequence of someone's efforts or of a particular set of circumstances	T
the boat had a metallic [ finish ]	a decorative texture or appearance of a surface (or the substance that gives it that appearance)	T
He always puts a [ smile ] on my face .	a facial expression characterized by turning up the corners of the mouth; usually shows pleasure or amusement	T
we were just waiting for someone to take the [ lead ]	a position of leadership (especially in the phrase `take the lead')	T
Before laying sod on that clay , the ground needs two inches of [ coverage ] with topsoil .	the extent to which something is covered	T
political [ fatigue ]	(always used with a modifier) boredom resulting from overexposure to something	T
the [ baby ] of the family	the youngest member of a group (not necessarily young)	T
" driver " , noun : [ one ] who drives .	a single person or thing	T
The word " kerosine " is a [ variant ] of “ kerosene ” .	something a little different from others of the same type	T
life has lost its [ point ]	a brief version of the essential meaning of something	T
he could be Gingrich 's [ double ]	someone who closely resembles a famous person (especially an actor)	T
I give you [ credit ] for owning up to your mistake .	approval	T
she did n't appreciate my [ humor ]	the trait of appreciating (and being able to express) the humorous	T
19th century [ thought ]	the organized beliefs of a period or group or individual	T
The [ fabric ] of our lives	the underlying structure	T
the south [ wall ] had a small window	an architectural partition with a height and length greater than its thickness; used to divide or enclose an area or to support another structure	T
The " [ war ] on drugs " is a campaign against the use of narcotic drugs .	a concerted campaign to end something that is injurious	T
[ business ] is good today	the volume of commercial activity	T
a [ flash ] sewn on his sleeve indicated the unit he belonged to	a bright patch of color used for decoration or identification	T
the trunk was full of [ stuff ]	miscellaneous unspecified objects	T
the [ taproot ] of his resentment	something that provides an important central source for growth or development	T
they had [ sex ] in the back seat	activities associated with sexual intercourse	T
The crazy lady made a [ scene ] in the grocery store .	a consecutive series of pictures that constitutes a unit of action in a film	T
She could n't hurt a fly , young [ slip ] of a girl that she is .	a young and slender person	T
Pancake [ syrup ]	a thick sweet sticky liquid	T
computers are now widely used in [ business ]	the activity of providing goods and services involving financial and commercial and industrial aspects	T
a body will continue in a state of [ rest ] until acted upon	a state of inaction	T
the [ containment ] of the rebellion	the act of containing; keeping something from spreading	T
He was sentenced to a [ term ] of six years in prison .	a limited period of time	T
true [ memorability ] of phrase	the quality of being worth remembering	T
they rode to the [ end ] of the line	either extremity of something that has length	T
The [ significance ] of a gesture	a meaning that is not expressly stated but can be inferred	T
Gilbert had some bad [ luck ] yesterday — he got pick - pocketed and lost fifty dollars .	an unknown and unpredictable phenomenon that causes an event to result one way rather than another	T
We had [ sex ] in the back seat .	activities associated with sexual intercourse	T
a multinational [ operation ]	a business especially one run on a large scale	T
I could hear the [ breath ] of the runner behind me .	the process of taking in and expelling air during breathing	T
I tried to make a call , but the [ line ] was dead .	a telephone connection	T
" Under his proud [ survey ] the city lies . " -Sir John Denham .	the act of looking or seeing or observing	T
The most moving [ scene ] is the final one , where he realizes he has wasted his whole life .	a subdivision of an act of a play	T
What is all that [ stuff ] on your bedroom floor ?	miscellaneous unspecified objects	T
the [ enemy ] attacked at dawn	an opposing military force	T
There 's a cranky [ curmudgeon ] working at the hospital who gives all the patients and other doctors flak .	a crusty irascible cantankerous old person full of stubborn ideas	T
Oi , you , shut your [ gob ] !	informal terms for the mouth	T
the [ institution ] of slavery	a custom that for a long time has been an important feature of some group or society	T
open a window and let in some [ air ]	a mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of	T
someone had to drive me home last night because I had a [ skinful ]	a quantity of alcoholic drink sufficient to make you drunk	T
A shared [ line ]	a telephone connection	T
the store shelves held many different kinds of [ tea ]	dried leaves of the tea shrub; used to make tea	T
the [ space ] between his teeth	an empty area (usually bounded in some way between things)	T
a critical time in the school 's [ history ]	the aggregate of past events	T
it 's a [ quarter ] til 4	a unit of time equal to 15 minutes or a quarter of an hour	T
in the [ deep ] of winter	the central and most intense or profound part	T
the mother provides emotional [ anchorage ] for the entire family	the condition of being secured to a base	T
he thought of his painting as a [ game ] that filled his empty time	an amusement or pastime	T
fish with a delicate flavor and [ texture ]	the physical composition of something (especially with respect to the size and shape of the small constituents of a substance)	T
a good [ shot ] requires good balance and tempo	(sports) the act of swinging or striking at a ball with a club or racket or bat or cue or hand	T
Jones came in [ third ] .	following the second position in an ordering or series	T
Penny was in the scullery , pressing the [ body ] of her new dress .	the body excluding the head and neck and limbs	T
He got [ clearance ] to travel to America , even though he had previous links to terrorists	permission to proceed	T
We do [ business ] all over the world .	the activity of providing goods and services involving financial and commercial and industrial aspects	T
are your [ people ] still alive ?	members of a family line	T
The Grim Reaper is a [ personification ] of death .	a person who represents an abstract quality	T
When I realized that I had hurt my friend , I felt deep [ shame ] .	a state of dishonor	T
the [ voice ] of the law	a means or agency by which something is expressed or communicated	T
Our football team took a [ licking ] last night .	an unsuccessful ending to a struggle or contest	T
he stared as she buttoned her [ top ]	a garment (especially for women) that extends from the shoulders to the waist or hips	T
the pilot ran through the [ check ] - out procedure	the act of inspecting or verifying	T
" Open your [ mouth ] and say ' aah ' , " directed the doctor .	the opening through which food is taken in and vocalizations emerge	T
I asked for a hot [ drink ]	a single serving of a beverage	T
he is the very [ model ] of a modern major general	something to be imitated	T
The sun sets , and the workers go to their [ rest ] .	freedom from activity (work or strain or responsibility)	T
it is much cooler in the [ shade ]	relative darkness caused by light rays being intercepted by an opaque body	T
you did n't give me enough [ notice ]	an announcement containing information about an event; ; ; "a notice of sale	T
Fred is becoming a [ bum ] - he 's not even bothering to work more than once a month .	person who does no work	T
a [ wall ] of water	anything that suggests a wall in structure or function or effect	T
the [ scale ] of the map	the ratio between the size of something and a representation of it	T
The [ date ] of a letter , of a will , of a deed , of a coin , etc .	the particular day, month, or year (usually according to the Gregorian calendar) that an event occurred	T
this [ time ] he succeeded	an instance or single occasion for some event	T
when the [ finish ] is too thin it is difficult to apply evenly	a decorative texture or appearance of a surface (or the substance that gives it that appearance)	T
the [ reenactment ] of the battle of Princeton	performing a role in an event that occurred at an earlier time	T
They did nearly a million dollars of [ business ] over the long weekend .	the volume of commercial activity	T
I was invited to the [ masquerade ] at their home .	making a false outward show	T
A chair is [ furniture ] . Sofas are also furniture .	furnishings that make a room or other area ready for occupancy	T
ocean [ circulation ] is an important part of global climate	free movement or passage (as of cytoplasm within a cell or sap through a plant)	T
From noon till [ night ]	a shortening of nightfall	T
he washed his [ face ]	the front of the human head from the forehead to the chin and ear to ear	T
The enemy fire is increasing – can we get some immediate [ coverage ] from those bunkers ?	the extent to which something is covered	T
We all got to ride the merry - go - round when the brought their [ carnival ] to town .	a festival marked by merrymaking and processions	T
he made his [ escape ] from the mental hospital	the act of escaping physically	T
he was a great actor in his [ time ]	an indefinite period (usually marked by specific attributes or activities)	T
Anne Boleyn placed her head on the [ block ] and awaited her execution .	a solid piece of something (usually having flat rectangular sides)	T
the [ product ] of 2 and 3 is 6	a quantity obtained by multiplication	T
the [ application ] of maximum thrust	the action of putting something into operation	T
he played [ catch ] with his son in the backyard	a cooperative game in which a ball is passed back and forth	T
laws limit the [ sale ] of handguns	the general activity of selling	T
You could fry up some chicken livers for a tasty treat . — Nah , I do n't like chicken [ liver ] .	liver of an animal used as meat	T
the plains lay just beyond the mountain [ range ]	a series of hills or mountains	T
Her dress was so short you could nearly see her [ fanny ]	external female sex organs	T
A text file will have a file [ extension ] of .txt .	a string of characters beginning with a period and followed by one or more letters; the optional second part of a PC computer filename	T
the golfer asked for an [ official ] who could give him a ruling	someone who administers the rules of a game or sport	T
Grāmata maksā piecas kronas — the book costs five [ krona ]	the basic unit of money in Sweden	T
the [ connection ] between church and state is inescapable	the state of being connected	T
[ enthalpy ] is the amount of energy in a system capable of doing mechanical work	(thermodynamics) a thermodynamic quantity equal to the internal energy of a system plus the product of its volume and pressure	T
Get a [ life ] .	a characteristic state or mode of living	T
he 's in the [ nick ]	(British slang) a prison	T
a beggar 's [ masquerade ] of wealth	making a false outward show	T
A CPU is a [ component ] of a computer .	an artifact that is one of the individual parts of which a composite entity is made up; especially a part that can be separated from or attached to a system	T
a financial [ crunch ]	a critical situation that arises because of a shortage (as a shortage of time or money or resources)	T
they study the evolution of the [ universe ]	everything that exists anywhere	T
the ball was still in [ play ]	a state in which action is feasible	T
The applicant now seeks [ leave ] to appeal and , if leave be granted , to appeal against these sentences .	permission to do something	T
a [ wave ] of conservatism in the country led by the hard right	something that rises rapidly	T
Unfortunately , the leading bridesmaid stepped on the bride 's [ train ] as they were walking down the aisle .	piece of cloth forming the long back section of a gown that is drawn along the floor	T
the whole [ room ] was cheering	the people who are present in a room	T
in the [ year ] 1920	a period of time containing 365 (or 366) days	T
he got a good [ fix ] on the target	a determination of the place where something is	T
I was on a winning [ streak ] until the fourth game , where I was dealt terrible cards .	an unbroken series of events	T
a [ sense ] of security	a general conscious awareness	T
[ gravitation ] can not be held responsible for people falling in love "-- Albert Einstein	(physics) the force of attraction between all masses in the universe; especially the attraction of the earth's mass for bodies near its surface; ; ; --Albert Einstein	T
he won the prize for best [ costume ]	the attire worn in a play or at a fancy dress ball	T
the [ scale ] of the model	the ratio between the size of something and a representation of it	T
I did n't have [ time ] to finish	a period of time considered as a resource under your control and sufficient to accomplish something	T
The car 's [ finish ] was so shiny and new .	a decorative texture or appearance of a surface (or the substance that gives it that appearance)	T
he left school before the end of [ term ]	a limited period of time	T
Common [ sense ] is not so common	sound practical judgment	T
There was n't that much elbow [ room ] in the aircraft .	space for movement	T
can you shed [ light ] on this problem ?	mental understanding as an enlightening experience	T
the [ ball ] travelled 90 mph on his serve	round object that is hit or thrown or kicked in games	T
the baby was a [ boy ]	a youthful male person	T
[ practice ] makes perfect	systematic training by multiple repetitions	T
the [ floor ] of the pelvis	the lower inside surface of any hollow structure	T
It is dangerous to look at the beam of a laser while it is in [ operation ] .	a medical procedure involving an incision with instruments; performed to repair damage or arrest disease in a living body	T
he ran away from home to join the [ circus ]	a travelling company of entertainers; including trained animals	T
they handed out the printed [ text ] of the mayor 's speech	the words of something written	T
The boulder came to [ rest ] just behind the house after rolling down the mountain .	a state of inaction	T
A [ reading ] of the current situation .	a particular interpretation or performance	T
My [ hearing ] is n't what it used to be , but I still heard that noise .	the ability to hear; the auditory faculty	T
there is not a [ drop ] of pity in that man	a small indefinite quantity (especially of a liquid); ; ; ; --Kipling	T
he applied a coat of a clear [ finish ]	a decorative texture or appearance of a surface (or the substance that gives it that appearance)	T
They improve their product every year ; they export most of their agricultural [ production ] .	an artifact that has been created by someone or some process	T
The hunters found deer [ sign ] at the end of the trail .	a perceptible indication of something not immediately apparent (as a visible clue that something has happened)	T
the elevators were at the end of the [ hall ]	an interior passage or corridor onto which rooms open	T
Launch [ window ] ; window of opportunity	the time period that is considered best for starting or finishing something	T
the idea of motion was always to the [ forefront ] of his mind and central to his philosophy	the position of greatest importance or advancement; the leading position in any movement or field	T
his [ claim ] that he was innocent	an assertion that something is true or factual	T
The [ cycle ] of the seasons , or of the year	an interval during which a recurring sequence of events occurs	T
the job will take more than an [ hour ]	a period of time equal to 1/24th of a day	T
A crop circle was made in a corn [ field ] .	a piece of land cleared of trees and usually enclosed	T
the [ line ] of soldiers advanced with their bayonets fixed	a formation of people or things one beside another	T
they did n't follow our [ lead ]	a position of leadership (especially in the phrase `take the lead')	T
a chauffeur opened the door of the limousine for the grand [ lady ]	a woman of refinement	T
Sent via [ post ] ; parcel post	a job in an organization	T
` wo n't ' is a [ contraction ] of ` will not '	a word formed from two or more words by omitting or combining some sounds	T
His [ bid ] was $ 35,000 .	a formal proposal to buy at a specified price	T
the dictionary 's [ coverage ] of standard English is excellent	the extent to which something is covered	T
she was granted [ leave ] to speak	permission to do something	T
come in out of the [ cold ]	the absence of heat	T
she made a [ copy ] of the designer dress	a thing made to be similar or identical to another thing	T
Philip 's [ dwelling ] fronted on the street . - Alfred Tennyson	housing that someone is living in	T
intellectual [ bankruptcy ]	a state of complete lack of some abstract property	T
We got into a silly [ quarrel ] about what food to order .	an angry dispute	T
The boss is gon na give her the [ sack ] today .	the termination of someone's employment (leaving them free to depart)	T
the [ key ] to development is economic integration	something crucial for explaining	T
A [ chain ] of mountains	a series of things depending on each other as if linked together	T
it brought out his better [ side ]	an aspect of something (as contrasted with some other implied aspect)	T
the attraction of the book is precisely its [ narrowness ] of focus	a restriction of range or scope	T
the rear [ part ] of the house	something less than the whole of a human artifact	T
Their angry expressions were a clear [ sign ] they did n't want to talk .	a perceptible indication of something not immediately apparent (as a visible clue that something has happened)	T
impossibility should never be confused with [ improbability ]	the quality of being improbable	T
a lot of people are out of [ work ]	the occupation for which you are paid	T
the dollar is the United States [ unit ] of currency	any division of quantity accepted as a standard of measurement or exchange	T
The design needs to be [ field ] - tested before we commit to manufacture .	somewhere (away from a studio or office or library or laboratory) where practical work is done or data is collected	T
he dreamed of a home on the [ range ]	a large tract of grassy open land on which livestock can graze	T
he limited his losses by [ diversification ] of his product line	the act of introducing variety (especially in investments or in the variety of goods and services offered)	T
he writes with his [ right ] hand but pitches with his left	the hand that is on the right side of the body	T
The ocean was finally at [ rest ] .	a state of inaction	T
there was only one piece of [ furniture ] in the room	furnishings that make a room or other area ready for occupancy	T
Go easy on him : he is but a [ child ] .	a young person of either sex	T
crop [ rotation ] makes a balanced demand on the fertility of the soil	a planned recurrent sequence (of crops or personnel etc.)	T
after several trials he mixed the [ shade ] of pink that she wanted	a quality of a given color that differs slightly from another color	T
his plan of [ attack ] was misguided	ideas or actions intended to deal with a problem or situation	T
a smell of chemicals in the [ air ]	a mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of	T
this [ thing ] has got to end	a special situation	T
The best poker players can tell if the opponents have a good hand by looking at their [ expression ] .	the feelings expressed on a person's face	T
a [ trial ] of progesterone failed to relieve the pain	trying something to find out about it	T
We need to finalise the [ deal ] with Henderson by midnight .	a particular instance of buying or selling	T
the preface contained an [ acknowledgment ] of those who had helped her	a statement acknowledging something or someone	T
The third link of the silver [ chain ] needs to be resoldered .	a series of things depending on each other as if linked together	T
Come this [ way ] and I 'll show you a shortcut .	any artifact consisting of a road or path affording passage from one place to another	T
the [ question ] of disease merits serious discussion	the subject matter at issue	T
She 's got such a [ gob ] on her – she′s always gossiping about someone or other .	informal terms for the mouth	T
Football tickets are expensive at fifty bucks a [ throw ] .	a single chance or instance	T
We 've been having a lot of [ rain ] lately .	water falling in drops from vapor condensed in the atmosphere	T
he resorted to the [ interception ] of his daughter 's letters	the act of intercepting; preventing something from proceeding or arriving	T
the [ price ] of success is hard work	value measured by what must be given or done or undergone to obtain something	T
Respect my [ authority ] !	the power or right to give orders or make decisions	T
the patient recited a [ litany ] of complaints	any long and tedious address or recital	T
he was a charter member of the [ movement ]	a group of people with a common ideology who try together to achieve certain general goals	T
The [ helm ] of the Commonwealth	a position of leadership	T
whatever it was he did n't like it and he was going to let them know by making as loud a [ noise ] as he could	a loud outcry of protest or complaint	T
[ stabilization ] means that the product can be handled under atmospheric conditions	the act of stabilizing something or making it more stable	T
any good golf club will have a [ range ] where you can practice	a place for shooting (firing or driving) projectiles of various kinds	T
Might I beg [ leave ] to accompany you ?	permission to do something	T
he gave the hood a quick [ rub ]	the act of rubbing or wiping	T
In summer , it is possible to hike to the [ summit ] of Mt. Shasta .	the top or extreme point of something (usually a mountain or hill)	T
There 's a lot of trash on the [ bed ] of the river .	a depression forming the ground under a body of water	T
If it was n't subsidized , the [ nonprofit ] would be bankrupt .	an organization chartered for other than profit-making activities	T
The [ flap ] of a sail ;    the flap of a wing	any broad thin and limber covering attached at one edge; hangs loose or projects freely	T
This school is well - known for having teachers of high [ quality ] .	a degree or grade of excellence or worth	T
Justification is an act of God 's free [ grace ] wherein he pardoneth all our sins . ( the Westminster shorter catechism of 1647 , question 33http://books.google.com / books?id=7gMNAAAAIAAJ&pg = PA683&dq=%22Free+Grace%22&hl = en&ei =- pv_TLz3Hsrf4ga0-ISdCA&sa = X&oi = book_result&ct = result&resnum=1&ved=0CCgQ6AEwAA#v = onepage&q=%22Free%20Grace%22&f = false )	(Christian theology) the free and unmerited favor or beneficence of God	T
A dedicated [ line ]	a telephone connection	T
his daily [ run ] keeps him fit	the act of running; traveling on foot at a fast pace	T
The spaceship came under the [ pull ] of the gas giant .	the force used in pulling	T
thanks to that quack I am a human [ wreck ]	something or someone that has suffered ruin or dilapidation	T
the [ head ] of the page	the top of something	T
a [ body ] of doctrine	a collection of particulars considered as a system	T
curled up on the [ foot ] of the bed	the lower part of anything	T
She brings a [ wealth ] of knowledge to the project .	the state of being rich and affluent; having a plentiful supply of material goods and money	T
he has a [ feel ] for animals " or " it 's easy when you get the feel of it	an intuitive awareness;  or	T
the [ head ] of the stairs	the top of something	T
Those clouds show little [ sign ] of raining soon .	a perceptible indication of something not immediately apparent (as a visible clue that something has happened)	T
he presided over the economy during the period of the greatest [ stress ] and danger"- R.J.Samuelson	difficulty that causes worry or emotional tension; ; - R.J.Samuelson	T
the team was off [ form ] last night	an ability to perform well	T
a good [ sport ]	a person known for the way she (or he) behaves when teased or defeated or subjected to trying circumstances	T
it was an old briefcase but it still had a good [ grip ]	the appendage to an object that is designed to be held in order to use or move it	T
( The believers ... those ... ) who abstain from [ sex ]	activities associated with sexual intercourse	T
he has a very complicated [ love ] life	sexual activities (often including sexual intercourse) between two people	T
stay after [ school ]	the period of instruction in a school; the time period when school is in session	T
a [ trump ] can take a trick even when a card of a different suit is led	(card games) the suit that has been declared to rank above all other suits for the duration of the hand	T
A building [ lot ] in a city	a parcel of land having fixed boundaries	T
a [ unit ] of wheat is a bushel	any division of quantity accepted as a standard of measurement or exchange	T
the book had an important [ impact ] on my thinking	a forceful consequence; a strong effect	T
there was not a [ scrap ] left	a small piece of something that is left over after the rest has been used	T
in an [ optimization ] problem we seek values of the variables that lead to an optimal value of the function that is to be optimized	the act of rendering optimal	T
it is part of the [ fabric ] of society	the underlying structure	T
The world economy had a rough [ patch ] in the 1930s .	a period of indeterminate length (usually short) marked by some action or condition	T
insure the [ safety ] of the children	the state of being certain that adverse effects will not be caused by some agent under defined conditions	T
[ fire ] was one of our ancestors ' first discoveries	the process of combustion of inflammable materials producing heat and light and (often) smoke	T
the [ difference ] in her is amazing	a significant change	T
