context1	context2	label
they funded research and [ development ]	act of improving by expanding or enlarging or refining||improvement	T
a [ drop ] of each sample was analyzed	a small indefinite quantity (especially of a liquid); ; ; ; --Kipling||small_indefinite_quantity small_indefinite_amount	T
moral [ bankruptcy ]	a state of complete lack of some abstract property||failure	T
[ origin ] in sensation	the source of something's existence or from which it derives or is derived||source	T
hastened the [ period ] of time of his recovery	an amount of time||fundamental_quantity fundamental_measure	T
he was surrounded by a [ bevy ] of beauties in bathing attire	a large gathering of people of a particular type||gathering assemblage	T
the [ image ] of f(x ) = x^2 is the set of all non - negative real numbers if the domain of the function is the set of all real numbers	(mathematics) the set of values of the dependent variable for which a function is defined||set	T
All I need to weather a snowstorm is hot coffee , a warm fire , a good book and a comfortable [ chair ] .	a seat for one person, with a support for the back||seat	T
such images define their sense of [ nationality ]	people having common origins or traditions and often comprising a nation||people	T
the [ head ] of the column advanced boldly	the front of a military formation or procession||formation	T
she had heard her [ fill ] of gossip	a quantity sufficient to satisfy||enough sufficiency	T
[ tea ] has fragrant white flowers	a tropical evergreen shrub or small tree extensively cultivated in e.g. China and Japan and India; source of tea leaves||shrub bush	T
They shot 20 [ head ] of quail	a single domestic animal||domestic_animal domesticated_animal	T
deliver the package to my [ home ]	where you live at a particular time||residence abode	T
a [ school ] of small glittering fish swam by	a large group of fish||animal_group	T
he described his mental [ picture ] of his assailant	a clear and telling mental image||image mental_image	T
he had to clean up the [ leak ]	the discharge of a fluid from some container||discharge outpouring run	T
a racially integrated business [ concern ]	a commercial or industrial enterprise and the people who constitute it||enterprise	T
a [ sampler ] of French poets	an assortment of various samples||assortment mixture mixed_bag miscellany miscellanea variety salmagundi smorgasbord potpourri motley	T
The mechanism for [ arousal ] from sleep	awakening from sleep||wakefulness	T
A tidy [ sum ]	a quantity of money||assets	T
He sat on the arm of the chair rather than the [ seat ] , which always annoyed his mother .	furniture that is designed for sitting on||furniture piece_of_furniture article_of_furniture	T
Okay , but this is the last [ time ] . No more after that !	an instance or single occasion for some event||case instance example	T
he went to the party dressed in [ drag ]	clothing that is conventionally worn by the opposite sex (especially women's clothing when worn by a man)||clothing article_of_clothing vesture wear wearable habiliment	T
the gas expanded to twice its original [ volume ]	the amount of 3-dimensional space occupied by an object||measure quantity amount	T
I 'm really seeing you in a different [ light ] today .	a person regarded very fondly||friend	T
the [ acquisition ] of wealth	the act of contracting or assuming or acquiring possession of something||acquiring getting	T
The announcement of the verdict brought a violent [ reaction ] .	a bodily process occurring due to the effect of some antecedent stimulus or agent||bodily_process body_process bodily_function activity	T
the body lay in a [ pool ] of blood	a small body of standing water (rainwater) or other liquid||body_of_water water	T
The lawyer obtained impunity by dragging his obviously guilty client 's case beyond the 10 years [ limitation ]	(law) a time period after which suits cannot be brought||time_limit	T
The [ emission ] of light from the sun	the act of emitting; causing to flow forth||egress egression emergence	T
a terrible feeling of [ ulteriority ]	the quality of being ulterior||quality	T
men first stepped on the [ moon ] in 1969	the natural satellite of the Earth||	T
he was university [ material ]	a person judged suitable for admission or employment||applicant applier	T
the consolidation of the United States ' [ hegemony ] over a new international economic system	the dominance or leadership of one social group or nation over others||political_system form_of_government	T
they paid taxes on every stage of the [ operation ]	a business especially one run on a large scale||business_activity commercial_activity	T
Do you want to come over to my [ place ] later ?	where you live at a particular time||residence abode	T
the [ process ] of calcification begins later for boys than for girls	a sustained phenomenon or one marked by gradual changes through a series of states||physical_entity	T
a bark [ feeder ]	an animal that feeds on a particular source of food||animal animate_being beast brute creature fauna	T
they have a chef who specializes in [ fish ]	the flesh of fish used as food||food solid_food	T
They climbed the north [ face ] of the mountain .	a surface forming part of the outside of an object||surface	T
in chess your should take care of your [ development ] before moving your queen	a state in which things are improving; the result of developing (as in the early part of a game of chess)||improvement melioration	T
The shift of the supplier gave us a [ saving ] of 10 percent .	an act of economizing; reduction in cost||action	T
Yesterday we did a [ run ] of 12,000 units .	the production achieved during a continuous period of operation (of a machine or factory etc.)||indefinite_quantity	T
he was the [ last ] to leave	the last or lowest in an ordering or series||rank	T
We laughed at her because the [ label ] was still on her new sweater .	an identifying or descriptive marker that is attached to an object||marker marking mark	T
It was then that they decided to found a [ society ] of didgeridoo - playing unicyclists .	a formal association of people with similar interests||association	T
The [ key ] to winning a game	something crucial for explaining||explanation	T
his support made a real [ difference ]	a significant change||change	T
the piano had a very stiff [ action ]	the operating part that transmits power to a mechanism||mechanism	T
the plane was given [ clearance ] to land	permission to proceed||license permission permit	T
the smart [ set ] goes there	an unofficial association of people or groups||social_group	T
I resented his [ withholding ] permission	the act of holding back or keeping within your possession or control||retention keeping holding	T
he managed it on a [ shoestring ]	a small amount of money||small_indefinite_quantity small_indefinite_amount	T
I ordered two [ dozen ] doughnuts .	the cardinal number that is the sum of eleven and one||large_integer	T
a distant [ third ]	following the second position in an ordering or series||rank	T
I took the noon [ flight ] to Chicago	a scheduled trip by plane between designated airports||trip	T
the [ light ] of my life	a person regarded very fondly||friend	T
he wrote the date on the [ back ] of the photograph	the side that goes last or is not normally seen||side	T
the [ foot ] of the page	the lower part of anything||bottom	T
See you another [ time ] ;    that 's three times he 's made the same mistake	an instance or single occasion for some event||case instance example	T
Genesis is the first [ book ] of the Bible .	a major division of a long written composition||section subdivision	T
a long and happy [ marriage ]	the state of being a married couple voluntarily joined for life (or until divorce)||marital_status	T
Come in , out of the [ cold ] .	the absence of heat||temperature	T
12 [ head ] of big cattle and 14 head of branded calves	a single domestic animal||domestic_animal domesticated_animal	T
he feared that mentioning it might reopen the [ wound ]	a figurative injury (to your feelings or pride); ; ; --Robert Frost||distress hurt suffering	T
he was given [ credit ] for his work	approval||approval commendation	T
he held a large [ block ] of the company 's stock	a number or quantity of related things dealt with as a unit||collection aggregation accumulation assemblage	T
his [ ambition ] is to own his own business	a cherished desire||desire	T
There will be a [ charge ] of five dollars .	the price charged for some article or service||cost	T
The flock of birds took to the [ air ] .	a mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of||gas	T
the [ patter ] of mice	a quick succession of light rapid sounds||sound	T
the [ line ] stretched clear around the corner	a formation of people or things one behind another||formation	T
A circle is the [ locus ] of points from which the distance to the center is a given value , the radius .	the set of all points or lines that satisfy or are determined by specific conditions||set	T
mouths which speak such [ foulness ] must be cleansed	disgusting wickedness and immorality||iniquity wickedness darkness dark	T
Please speak up , the [ line ] is very faint .	a telephone connection||connection connexion connector connecter connective	T
The [ term ] allowed to a debtor to discharge his debt	a limited period of time||time_period period_of_time period	T
Family members had been buried in the [ vault ] for centuries .	a burial chamber (usually underground)||burial_chamber sepulcher sepulchre sepulture	T
he threw the ball into the [ air ]	the region above the ground||region part	T
the African - American [ population ] of Salt Lake City has been increasing	the number of inhabitants (either the total number or the number of a particular race or class) in a given place (country or city etc.)||integer whole_number	T
he had a [ time ] holding back the tears	a person's experience on a particular occasion||experience	T
there but for the [ grace ] of God go I	(Christian theology) the free and unmerited favor or beneficence of God||beneficence	T
Open the door a [ crack ] .	a long narrow opening||opening gap	T
the [ truth ] is that he did n't want to do it	a fact that has been verified||fact	T
the shark is a large [ fish ]	any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills||aquatic_vertebrate	T
the [ language ] introduced is standard throughout the text	a systematic means of communicating by the use of sounds or conventional symbols||communication	T
she made a [ funny ]	an account of an amusing incident (usually with a punch line)||joke gag laugh jest jape	T
The [ use ] of torture has been condemned by the United Nations ;    there is no use for your invention	the act of using||activity	T
the manager had only four starting pitchers in his [ rotation ]	a planned recurrent sequence (of crops or personnel etc.)||sequence chronological_sequence succession successiveness chronological_succession	T
they held an [ inventory ] every month	making an itemized list of merchandise or supplies on hand||listing itemization itemisation	T
they found the [ body ] in the lake	a natural object consisting of a dead animal or person||natural_object	T
you can obtain a [ transcript ] of this radio program by sending a self - addressed envelope to the station	something that has been transcribed; a written record (usually typewritten) of dictated or recorded speech||writing written_material piece_of_writing	T
The Holocaust was insanity on an enormous [ scale ] .	the ratio between the size of something and a representation of it||proportion	T
his brother 's success left him in the [ shade ]	a position of relative inferiority||inferiority lower_status lower_rank	T
At the [ end ] of the road , turn left .     At the end of the story , the main characters fall in love .	a final part or section||part section division	T
a [ congregation ] of children pleaded for his autograph	an assemblage of people or animals or things collected together||collection aggregation accumulation assemblage	T
It 's almost [ lunchtime ] , so I think I 'll finish up later this afternoon .	the customary or habitual hour for eating lunch||mealtime	T
the [ foot ] of the list	the lower part of anything||bottom	T
Do n't go to lunch if we do n't have enough [ coverage ] for the help - desk phones .	the extent to which something is covered||extent	T
The woman does not even have one stick of [ furniture ] moved in yet .	furnishings that make a room or other area ready for occupancy||furnishing	T
With the lights out , she had to rely on [ touch ] to find her desk .	the faculty by which external objects or forces are perceived through contact with the body (especially the hands)||exteroception	T
Liza had always had a tendency to [ wildness ]	an unruly disposition to do as one pleases||unruliness fractiousness willfulness wilfulness	T
The [ role ] of women has changed significantly in the last century .	normal or customary activity of a person in a particular social setting||activity	T
The CEO made a public [ apology ] for the scandal , and promised full cooperation with the authorities .	an expression of regret at having caused trouble for someone||acknowledgment acknowledgement	T
mineral [ origin ]	the source of something's existence or from which it derives or is derived||source	T
a bird will not learn its [ song ] unless it hears it at an early age	the characteristic sound produced by a bird||animal_communication	T
he does not have a [ grain ] of sense	the smallest possible unit of anything||smallness littleness	T
The point guard drove toward the [ basket ] .	horizontal circular metal hoop supporting a net through which players try to throw the basketball||basketball_equipment	T
" Are we having a recording [ session ] ? " / " Yes . We 've even got some session musicians to provide some brass . "	a meeting devoted to a particular activity||meeting coming_together	T
skill is the [ product ] of hours of practice	a consequence of someone's efforts or of a particular set of circumstances||consequence effect outcome result event issue upshot	T
the boat had a metallic [ finish ]	a decorative texture or appearance of a surface (or the substance that gives it that appearance)||decorativeness	T
He always puts a [ smile ] on my face .	a facial expression characterized by turning up the corners of the mouth; usually shows pleasure or amusement||facial_expression facial_gesture	T
we were just waiting for someone to take the [ lead ]	a position of leadership (especially in the phrase `take the lead')||leadership leading	T
Before laying sod on that clay , the ground needs two inches of [ coverage ] with topsoil .	the extent to which something is covered||extent	T
political [ fatigue ]	(always used with a modifier) boredom resulting from overexposure to something||boredom ennui tedium	T
the [ baby ] of the family	the youngest member of a group (not necessarily young)||offspring progeny issue	T
" driver " , noun : [ one ] who drives .	a single person or thing||unit	T
The word " kerosine " is a [ variant ] of “ kerosene ” .	something a little different from others of the same type||type	T
life has lost its [ point ]	a brief version of the essential meaning of something||meaning significance signification import	T
he could be Gingrich 's [ double ]	someone who closely resembles a famous person (especially an actor)||person individual someone somebody mortal soul	T
I give you [ credit ] for owning up to your mistake .	approval||approval commendation	T
she did n't appreciate my [ humor ]	the trait of appreciating (and being able to express) the humorous||playfulness fun	T
19th century [ thought ]	the organized beliefs of a period or group or individual||belief	T
The [ fabric ] of our lives	the underlying structure||structure	T
the south [ wall ] had a small window	an architectural partition with a height and length greater than its thickness; used to divide or enclose an area or to support another structure||partition divider	T
The " [ war ] on drugs " is a campaign against the use of narcotic drugs .	a concerted campaign to end something that is injurious||campaign cause crusade drive movement effort	T
[ business ] is good today	the volume of commercial activity||business_activity commercial_activity	T
a [ flash ] sewn on his sleeve indicated the unit he belonged to	a bright patch of color used for decoration or identification||patch	T
the trunk was full of [ stuff ]	miscellaneous unspecified objects||object physical_object	T
the [ taproot ] of his resentment	something that provides an important central source for growth or development||source seed germ	T
they had [ sex ] in the back seat	activities associated with sexual intercourse||bodily_process body_process bodily_function activity	T
The crazy lady made a [ scene ] in the grocery store .	a consecutive series of pictures that constitutes a unit of action in a film||photograph photo exposure picture pic	T
She could n't hurt a fly , young [ slip ] of a girl that she is .	a young and slender person||young_person youth younker spring_chicken	T
Pancake [ syrup ]	a thick sweet sticky liquid||sweetening sweetener	T
computers are now widely used in [ business ]	the activity of providing goods and services involving financial and commercial and industrial aspects||commerce commercialism mercantilism	T
a body will continue in a state of [ rest ] until acted upon	a state of inaction||inaction inactivity inactiveness	T
the [ containment ] of the rebellion	the act of containing; keeping something from spreading||restraint	T
He was sentenced to a [ term ] of six years in prison .	a limited period of time||time_period period_of_time period	T
true [ memorability ] of phrase	the quality of being worth remembering||quality	T
they rode to the [ end ] of the line	either extremity of something that has length||extremity	T
The [ significance ] of a gesture	a meaning that is not expressly stated but can be inferred||meaning substance	T
Gilbert had some bad [ luck ] yesterday — he got pick - pocketed and lost fifty dollars .	an unknown and unpredictable phenomenon that causes an event to result one way rather than another||phenomenon	T
We had [ sex ] in the back seat .	activities associated with sexual intercourse||bodily_process body_process bodily_function activity	T
a multinational [ operation ]	a business especially one run on a large scale||business_activity commercial_activity	T
I could hear the [ breath ] of the runner behind me .	the process of taking in and expelling air during breathing||bodily_process body_process bodily_function activity	T
I tried to make a call , but the [ line ] was dead .	a telephone connection||connection connexion connector connecter connective	T
" Under his proud [ survey ] the city lies . " -Sir John Denham .	the act of looking or seeing or observing||look looking looking_at	T
The most moving [ scene ] is the final one , where he realizes he has wasted his whole life .	a subdivision of an act of a play||dramatic_composition dramatic_work	T
What is all that [ stuff ] on your bedroom floor ?	miscellaneous unspecified objects||object physical_object	T
the [ enemy ] attacked at dawn	an opposing military force||military_unit military_force military_group force	T
There 's a cranky [ curmudgeon ] working at the hospital who gives all the patients and other doctors flak .	a crusty irascible cantankerous old person full of stubborn ideas||oldster old_person senior_citizen golden_ager	T
Oi , you , shut your [ gob ] !	informal terms for the mouth||mouth oral_cavity oral_fissure rima_oris	T
the [ institution ] of slavery	a custom that for a long time has been an important feature of some group or society||custom tradition	T
open a window and let in some [ air ]	a mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of||gas	T
someone had to drive me home last night because I had a [ skinful ]	a quantity of alcoholic drink sufficient to make you drunk||indefinite_quantity	T
A shared [ line ]	a telephone connection||connection connexion connector connecter connective	T
the store shelves held many different kinds of [ tea ]	dried leaves of the tea shrub; used to make tea||herb	T
the [ space ] between his teeth	an empty area (usually bounded in some way between things)||amorphous_shape	T
a critical time in the school 's [ history ]	the aggregate of past events||past past_times yesteryear	T
it 's a [ quarter ] til 4	a unit of time equal to 15 minutes or a quarter of an hour||time_unit unit_of_time	T
in the [ deep ] of winter	the central and most intense or profound part||middle	T
the mother provides emotional [ anchorage ] for the entire family	the condition of being secured to a base||condition status	T
he thought of his painting as a [ game ] that filled his empty time	an amusement or pastime||diversion recreation	T
fish with a delicate flavor and [ texture ]	the physical composition of something (especially with respect to the size and shape of the small constituents of a substance)||constitution composition physical_composition makeup make-up	T
a good [ shot ] requires good balance and tempo	(sports) the act of swinging or striking at a ball with a club or racket or bat or cue or hand||maneuver manoeuvre play	T
Jones came in [ third ] .	following the second position in an ordering or series||rank	T
Penny was in the scullery , pressing the [ body ] of her new dress .	the body excluding the head and neck and limbs||body_part	T
He got [ clearance ] to travel to America , even though he had previous links to terrorists	permission to proceed||license permission permit	T
We do [ business ] all over the world .	the activity of providing goods and services involving financial and commercial and industrial aspects||commerce commercialism mercantilism	T
are your [ people ] still alive ?	members of a family line||family family_line folk kinfolk kinsfolk sept phratry	T
The Grim Reaper is a [ personification ] of death .	a person who represents an abstract quality||person individual someone somebody mortal soul	T
When I realized that I had hurt my friend , I felt deep [ shame ] .	a state of dishonor||dishonor dishonour	T
the [ voice ] of the law	a means or agency by which something is expressed or communicated||means agency way	T
Our football team took a [ licking ] last night .	an unsuccessful ending to a struggle or contest||ending conclusion finish	T
he stared as she buttoned her [ top ]	a garment (especially for women) that extends from the shoulders to the waist or hips||woman's_clothing	T
the pilot ran through the [ check ] - out procedure	the act of inspecting or verifying||inspection review	T
" Open your [ mouth ] and say ' aah ' , " directed the doctor .	the opening through which food is taken in and vocalizations emerge||rima	T
I asked for a hot [ drink ]	a single serving of a beverage||helping portion serving	T
he is the very [ model ] of a modern major general	something to be imitated||ideal	T
The sun sets , and the workers go to their [ rest ] .	freedom from activity (work or strain or responsibility)||inactivity	T
it is much cooler in the [ shade ]	relative darkness caused by light rays being intercepted by an opaque body||semidarkness	T
you did n't give me enough [ notice ]	an announcement containing information about an event; ; ; "a notice of sale||announcement promulgation	T
Fred is becoming a [ bum ] - he 's not even bothering to work more than once a month .	person who does no work||nonworker	T
a [ wall ] of water	anything that suggests a wall in structure or function or effect||object physical_object	T
the [ scale ] of the map	the ratio between the size of something and a representation of it||proportion	T
The [ date ] of a letter , of a will , of a deed , of a coin , etc .	the particular day, month, or year (usually according to the Gregorian calendar) that an event occurred||calendar_day civil_day	T
this [ time ] he succeeded	an instance or single occasion for some event||case instance example	T
when the [ finish ] is too thin it is difficult to apply evenly	a decorative texture or appearance of a surface (or the substance that gives it that appearance)||decorativeness	T
the [ reenactment ] of the battle of Princeton	performing a role in an event that occurred at an earlier time||acting playing playacting performing	T
They did nearly a million dollars of [ business ] over the long weekend .	the volume of commercial activity||business_activity commercial_activity	T
I was invited to the [ masquerade ] at their home .	making a false outward show||pretense pretence pretending simulation feigning	T
A chair is [ furniture ] . Sofas are also furniture .	furnishings that make a room or other area ready for occupancy||furnishing	T
ocean [ circulation ] is an important part of global climate	free movement or passage (as of cytoplasm within a cell or sap through a plant)||change_of_location travel	T
From noon till [ night ]	a shortening of nightfall||twilight dusk gloaming gloam nightfall evenfall fall crepuscule crepuscle	T
he washed his [ face ]	the front of the human head from the forehead to the chin and ear to ear||external_body_part	T
The enemy fire is increasing – can we get some immediate [ coverage ] from those bunkers ?	the extent to which something is covered||extent	T
We all got to ride the merry - go - round when the brought their [ carnival ] to town .	a festival marked by merrymaking and processions||festival fete	T
he made his [ escape ] from the mental hospital	the act of escaping physically||running_away	T
he was a great actor in his [ time ]	an indefinite period (usually marked by specific attributes or activities)||time_period period_of_time period	T
Anne Boleyn placed her head on the [ block ] and awaited her execution .	a solid piece of something (usually having flat rectangular sides)||artifact artefact	T
the [ product ] of 2 and 3 is 6	a quantity obtained by multiplication||quantity	T
the [ application ] of maximum thrust	the action of putting something into operation||action	T
he played [ catch ] with his son in the backyard	a cooperative game in which a ball is passed back and forth||game	T
laws limit the [ sale ] of handguns	the general activity of selling||selling merchandising marketing	T
You could fry up some chicken livers for a tasty treat . — Nah , I do n't like chicken [ liver ] .	liver of an animal used as meat||variety_meat organs	T
the plains lay just beyond the mountain [ range ]	a series of hills or mountains||geological_formation formation	T
Her dress was so short you could nearly see her [ fanny ]	external female sex organs||genitalia genital_organ genitals private_parts privates crotch	T
A text file will have a file [ extension ] of .txt .	a string of characters beginning with a period and followed by one or more letters; the optional second part of a PC computer filename||string	T
the golfer asked for an [ official ] who could give him a ruling	someone who administers the rules of a game or sport||adjudicator	T
Grāmata maksā piecas kronas — the book costs five [ krona ]	the basic unit of money in Sweden||Swedish_monetary_unit	T
the [ connection ] between church and state is inescapable	the state of being connected||union unification	T
[ enthalpy ] is the amount of energy in a system capable of doing mechanical work	(thermodynamics) a thermodynamic quantity equal to the internal energy of a system plus the product of its volume and pressure||physical_property	T
Get a [ life ] .	a characteristic state or mode of living||being beingness existence	T
he 's in the [ nick ]	(British slang) a prison||prison prison_house	T
a beggar 's [ masquerade ] of wealth	making a false outward show||pretense pretence pretending simulation feigning	T
A CPU is a [ component ] of a computer .	an artifact that is one of the individual parts of which a composite entity is made up; especially a part that can be separated from or attached to a system||part portion	T
a financial [ crunch ]	a critical situation that arises because of a shortage (as a shortage of time or money or resources)||situation	T
they study the evolution of the [ universe ]	everything that exists anywhere||natural_object	T
the ball was still in [ play ]	a state in which action is feasible||action activity activeness	T
The applicant now seeks [ leave ] to appeal and , if leave be granted , to appeal against these sentences .	permission to do something||permission	T
a [ wave ] of conservatism in the country led by the hard right	something that rises rapidly||rise	T
Unfortunately , the leading bridesmaid stepped on the bride 's [ train ] as they were walking down the aisle .	piece of cloth forming the long back section of a gown that is drawn along the floor||piece_of_cloth piece_of_material	T
the whole [ room ] was cheering	the people who are present in a room||gathering assemblage	T
in the [ year ] 1920	a period of time containing 365 (or 366) days||time_period period_of_time period	T
he got a good [ fix ] on the target	a determination of the place where something is||determination finding	T
I was on a winning [ streak ] until the fourth game , where I was dealt terrible cards .	an unbroken series of events||succession	T
a [ sense ] of security	a general conscious awareness||awareness consciousness cognizance cognisance knowingness	T
[ gravitation ] can not be held responsible for people falling in love "-- Albert Einstein	(physics) the force of attraction between all masses in the universe; especially the attraction of the earth's mass for bodies near its surface; ; ; --Albert Einstein||attraction attractive_force	T
he won the prize for best [ costume ]	the attire worn in a play or at a fancy dress ball||attire garb dress	T
the [ scale ] of the model	the ratio between the size of something and a representation of it||proportion	T
I did n't have [ time ] to finish	a period of time considered as a resource under your control and sufficient to accomplish something||time_period period_of_time period	T
The car 's [ finish ] was so shiny and new .	a decorative texture or appearance of a surface (or the substance that gives it that appearance)||decorativeness	T
he left school before the end of [ term ]	a limited period of time||time_period period_of_time period	T
Common [ sense ] is not so common	sound practical judgment||sagacity sagaciousness judgment judgement discernment	T
There was n't that much elbow [ room ] in the aircraft .	space for movement||position spatial_relation	T
can you shed [ light ] on this problem ?	mental understanding as an enlightening experience||insight brainstorm brainwave	T
the [ ball ] travelled 90 mph on his serve	round object that is hit or thrown or kicked in games||game_equipment	T
the baby was a [ boy ]	a youthful male person||male male_person	T
[ practice ] makes perfect	systematic training by multiple repetitions||training preparation grooming	T
the [ floor ] of the pelvis	the lower inside surface of any hollow structure||surface Earth's_surface	T
It is dangerous to look at the beam of a laser while it is in [ operation ] .	a medical procedure involving an incision with instruments; performed to repair damage or arrest disease in a living body||medical_procedure	T
he ran away from home to join the [ circus ]	a travelling company of entertainers; including trained animals||company troupe	T
they handed out the printed [ text ] of the mayor 's speech	the words of something written||matter	T
The boulder came to [ rest ] just behind the house after rolling down the mountain .	a state of inaction||inaction inactivity inactiveness	T
A [ reading ] of the current situation .	a particular interpretation or performance||interpretation	T
My [ hearing ] is n't what it used to be , but I still heard that noise .	the ability to hear; the auditory faculty||exteroception	T
there is not a [ drop ] of pity in that man	a small indefinite quantity (especially of a liquid); ; ; ; --Kipling||small_indefinite_quantity small_indefinite_amount	T
he applied a coat of a clear [ finish ]	a decorative texture or appearance of a surface (or the substance that gives it that appearance)||decorativeness	T
They improve their product every year ; they export most of their agricultural [ production ] .	an artifact that has been created by someone or some process||creation	T
The hunters found deer [ sign ] at the end of the trail .	a perceptible indication of something not immediately apparent (as a visible clue that something has happened)||clue clew cue	T
the elevators were at the end of the [ hall ]	an interior passage or corridor onto which rooms open||corridor	T
Launch [ window ] ; window of opportunity	the time period that is considered best for starting or finishing something||time_period period_of_time period	T
the idea of motion was always to the [ forefront ] of his mind and central to his philosophy	the position of greatest importance or advancement; the leading position in any movement or field||position view perspective	T
his [ claim ] that he was innocent	an assertion that something is true or factual||assertion averment asseveration	T
The [ cycle ] of the seasons , or of the year	an interval during which a recurring sequence of events occurs||time_interval interval	T
the job will take more than an [ hour ]	a period of time equal to 1/24th of a day||time_unit unit_of_time	T
A crop circle was made in a corn [ field ] .	a piece of land cleared of trees and usually enclosed||tract piece_of_land piece_of_ground parcel_of_land parcel	T
the [ line ] of soldiers advanced with their bayonets fixed	a formation of people or things one beside another||formation	T
they did n't follow our [ lead ]	a position of leadership (especially in the phrase `take the lead')||leadership leading	T
a chauffeur opened the door of the limousine for the grand [ lady ]	a woman of refinement||woman adult_female	T
Sent via [ post ] ; parcel post	a job in an organization||occupation business job line_of_work line	T
` wo n't ' is a [ contraction ] of ` will not '	a word formed from two or more words by omitting or combining some sounds||word	T
His [ bid ] was $ 35,000 .	a formal proposal to buy at a specified price||offer offering	T
the dictionary 's [ coverage ] of standard English is excellent	the extent to which something is covered||extent	T
she was granted [ leave ] to speak	permission to do something||permission	T
come in out of the [ cold ]	the absence of heat||temperature	T
she made a [ copy ] of the designer dress	a thing made to be similar or identical to another thing||representation	T
Philip 's [ dwelling ] fronted on the street . - Alfred Tennyson	housing that someone is living in||housing lodging living_accommodations	T
intellectual [ bankruptcy ]	a state of complete lack of some abstract property||failure	T
We got into a silly [ quarrel ] about what food to order .	an angry dispute||dispute difference difference_of_opinion conflict	T
The boss is gon na give her the [ sack ] today .	the termination of someone's employment (leaving them free to depart)||termination ending conclusion	T
the [ key ] to development is economic integration	something crucial for explaining||explanation	T
A [ chain ] of mountains	a series of things depending on each other as if linked together||series	T
it brought out his better [ side ]	an aspect of something (as contrasted with some other implied aspect)||aspect facet	T
the attraction of the book is precisely its [ narrowness ] of focus	a restriction of range or scope||restriction limitation	T
the rear [ part ] of the house	something less than the whole of a human artifact||object physical_object	T
Their angry expressions were a clear [ sign ] they did n't want to talk .	a perceptible indication of something not immediately apparent (as a visible clue that something has happened)||clue clew cue	T
impossibility should never be confused with [ improbability ]	the quality of being improbable||uncertainty uncertainness precariousness	T
a lot of people are out of [ work ]	the occupation for which you are paid||occupation business job line_of_work line	T
the dollar is the United States [ unit ] of currency	any division of quantity accepted as a standard of measurement or exchange||definite_quantity	T
The design needs to be [ field ] - tested before we commit to manufacture .	somewhere (away from a studio or office or library or laboratory) where practical work is done or data is collected||region	T
he dreamed of a home on the [ range ]	a large tract of grassy open land on which livestock can graze||tract piece_of_land piece_of_ground parcel_of_land parcel	T
he limited his losses by [ diversification ] of his product line	the act of introducing variety (especially in investments or in the variety of goods and services offered)||change	T
he writes with his [ right ] hand but pitches with his left	the hand that is on the right side of the body||hand manus mitt paw	T
The ocean was finally at [ rest ] .	a state of inaction||inaction inactivity inactiveness	T
there was only one piece of [ furniture ] in the room	furnishings that make a room or other area ready for occupancy||furnishing	T
Go easy on him : he is but a [ child ] .	a young person of either sex||juvenile juvenile_person	T
